[SAFEMAGE],<img src="https://www.safemage.com/cache/%s/logo.png" height="17" alt="SafeMage" title=" " />
Installed SafeMage Extensions,Installed SafeMage Extensions
Contact Form,Contact Form
Contact Name,Contact Name
Contact Email,Contact Email
"Contact SafeMage Support Team or visit [url] for additional information.","<h4>Contact SafeMage Support Team or visit <a href=""https://www.safemage.com/"" target=""_blank"">www.safemage.com</a> for additional information.</h4>"
Subject,Subject
Reason,Reason
Other Reason,Other Reason
Message,Message
Disabled,Disabled
Enabled,Enabled
Please select,Please select
Magento Related Support,Magento Related Support
Request New Extension Development,Request New Extension Development
%s Support,%s Support
Other Reason,Other Reason
Thank you for your request.,Thank you for your request.
We'll respond as soon as possible.,We'll respond as soon as possible.
We'll send copy of your request to your email.,We'll send copy of your request to your email.
Oops! Something went wrong!,Oops! Something went wrong!
Contact SafeMage Support Team or visit <a href="%s" target="_blank">%s</a> for additional information,Contact SafeMage Support Team or visit <a href="%s" target="_blank">%s</a> for additional information
Send,Send
SafeMage Extensions &amp; Contact,SafeMage Extensions &amp; Contact
